QFilter types (string):
9 :: if no filter is used,
0 :: if Q0 is used for all layers,
01 :: if Q0 is used for the first layer and Q1 is used for the other layers,
01x :: if Q0 is used for the first layer and Q0+Q1 is used for the other layers,
1x :: if Q0+Q1 is used for all layers 
('QFilter, GVal, DVal, SIZE, initial_mapping  =', '01x', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01x filter and top initial mapping for all circuits on tokyo
*****************************************
Thu Sep 24 11:03:16 2020
(70, '4gt12-v0_87', 6, 112, 118, 6, 0.02, 1.0536)
(71, 'hwb6_56', 7, 2952, 3909, 957, 18.78, 1.3242)
(72, '4_49_16', 5, 99, 117, 18, 0.23, 1.1818)
(73, 'decod24-v1_41', 5, 38, 41, 3, 0.03, 1.0789)
(74, 'aj-e11_165', 5, 69, 87, 18, 0.07, 1.2609)
(75, 'rd84_142', 15, 154, 247, 93, 2.41, 1.6039)
(76, '4gt11_84', 4, 9, 9, 0, 0.0, 1.0)
(77, 'miller_11', 3, 23, 23, 0, 0.0, 1.0)
(78, 'alu-v2_30', 6, 223, 271, 48, 0.37, 1.2152)
(79, 'alu-v2_31', 5, 198, 240, 42, 0.39, 1.2121)
(80, '4mod5-v1_24', 5, 16, 16, 0, 0.0, 1.0)
(81, 'urf2_152', 8, 35210, 50366, 15156, 286.47, 1.4304)
(82, '4mod5-v0_19', 5, 16, 16, 0, 0.0, 1.0)
(83, '4mod5-v0_18', 5, 31, 40, 9, 0.01, 1.2903)
(84, 'ising_model_10', 10, 90, 90, 0, 0.0, 1.0)
(85, '4gt5_75', 5, 38, 47, 9, 0.03, 1.2368)
(86, 'ex2_227', 7, 275, 344, 69, 1.47, 1.2509)
(87, 'graycode6_47', 6, 5, 5, 0, 0.0, 1.0)
(88, 'radd_250', 13, 1405, 1981, 576, 97.03, 1.41)
(89, 'mini-alu_167', 5, 126, 156, 30, 0.8, 1.2381)
(90, 'dist_223', 13, 16624, 22915, 6291, 450.28, 1.3784)
(91, 'qft_16', 16, 240, 432, 192, 4.29, 1.8)
(92, 'rd32_270', 5, 36, 51, 15, 0.04, 1.4167)
(93, 'decod24-bdd_294', 6, 32, 44, 12, 0.03, 1.375)
(94, 'rd53_133', 7, 256, 310, 54, 0.68, 1.2109)
(95, 'alu-v4_37', 5, 18, 27, 9, 0.02, 1.5)
(96, 'alu-v4_36', 5, 51, 57, 6, 0.01, 1.1176)
(97, 'ham7_104', 7, 149, 194, 45, 0.22, 1.302)
(98, 'cnt3-5_179', 16, 85, 88, 3, 0.01, 1.0353)
(99, 'rd53_138', 8, 60, 96, 36, 0.55, 1.6)
(100, 'decod24-v2_43', 4, 22, 22, 0, 0.0, 1.0)
(101, '4gt12-v0_88', 6, 86, 137, 51, 0.13, 1.593)
